,video,timestamp,text
0,08-29,0:03,all right so today uh we are going to start the first lecture
1,08-29,0:09,um introduction to networks let me firstly discuss the structure of our class the very first chapter is
2,08-29,0:17,going to be um introduction to the networks okay then the second check beginning from the
3,08-29,0:24,second chapter we are going to discuss the uh application layer then transport layer the network layer and then finally
4,08-29,0:31,the link layer okay those are the four main layers we are going to cover in this class each chapter you can imagine
5,08-29,0:37,because we we have uh only these many chapters in this semester so we are
6,08-29,0:43,going to have super long chapters so be prepared for that uh in this chapter what we are going to discuss is
7,08-29,0:50,basically firstly we want to know what is internet and then the second thing we are going to discuss is what is a
8,08-29,0:57,protocol then after that we are going to discuss network edge network call these
9,08-29,1:02,are very important definitions okay um and then we will discuss how to
10,08-29,1:08,measure the network basically what is the uh the performance of the network okay then we will discuss the security
11,08-29,1:16,part of uh network this is this security part is uh is very basic okay very basic
12,08-29,1:25,um if you want to learn more you should probably take 154 class the networking and network security class to to learn
13,08-29,1:32,more okay and then we will discuss the layers i mentioned we will we will
14,08-29,1:37,discuss several layers in this class then why do we have layers what is the
15,08-29,1:43,functionality for each layer okay so what are the protocols containing this each layer then we will discuss that so
16,08-29,1:50,for history we will just skip that okay all right so then let's start the first
17,08-29,1:55,question what is an internet um if we take a nas and both view i think
18,08-29,2:03,last time we did the discussion many of you mentioned notes and the links yeah
19,08-29,2:08,those are very important two things or two components that will compose the
20,08-29,2:14,internet okay so when we see knows basically we mean the computers the
21,08-29,2:20,devices right some of you mentioned servers pay attention servers is just
22,08-29,2:25,one type of note okay servers are although the the the same huge usually
23,08-29,2:32,this sounds like huge things right but actually servers are just irregular computers may they may have a more uh
24,08-29,2:40,computer power computation power they may have more storage etc but they are
25,08-29,2:47,still like a computing device okay so here we can see uh okay the servers is just a
26,08-29,2:54,type of device but in addition to the servers okay you can see this is one type in addition to the servers we may
27,08-29,3:01,have the pcs we may have a laptop we may have the smartphones we may have the
28,08-29,3:07,tablets and we may even have uh the smart devices okay what which we call as
29,08-29,3:14,we now we have a idea of internet of things you hear about iot again and
30,08-29,3:21,again right so what is iot iot is internet of things so here are the
31,08-29,3:26,things may refer to a lot of things okay later i'm going to show you a slide on this
32,08-29,3:33,um so that all those computing devices as long as they as long as they are able
33,08-29,3:38,they can be connected to the internet then we call them as the nodes okay or
34,08-29,3:45,we calculate them as the hot okay the hots or the n devices okay and the
35,08-29,3:51,systems well these are all the possible names for this uh computing devices and
36,08-29,3:56,usually these computing devices are able to run the network applications okay so for example on your computer you may run
37,08-29,4:04,uh uh email okay outlook so this is
38,08-29,4:10,actually later when we talk about the email service union you will know this is actually the client program for email
39,08-29,4:17,service okay and then we need to have some kind of
40,08-29,4:23,server program on the email server okay similarly if you you're using a web
41,08-29,4:29,page using uh sorry not available
42,08-29,4:45,[music]
43,08-29,5:06,okay in addition to that in addition to those computing devices we also need
44,08-29,5:13,some kind of links or um cables or whatever to connect them
45,08-29,5:19,together okay so those are called communication links
46,08-29,5:25,so the communication links uh so far they can be either white links or
47,08-29,5:32,wireless links okay so for for example we may have uh fiber we know this is
48,08-29,5:37,super fast and it has a very low error rate okay it's very reliable uh we may
49,08-29,5:44,also have copper um uh corporate cables right so those are
50,08-29,5:53,like uh wide links but we miss we may also have wireless links like radio
51,08-29,5:58,satellite okay those are all the wireless links um and for these links there is a very
52,08-29,6:06,important matter uh that is that that is used uh to show
53,08-29,6:12,the speed of the links so this is called transmission rate and this is this
54,08-29,6:18,transmission rate is later we will learn it is actually very important it will
55,08-29,6:23,um affect something we call a transmission delay okay so sometimes if
56,08-29,6:28,the transmission also has another name which is bandwidth i think you are all you all know the term bandwidth right
57,08-29,6:35,but what is uh what is the bandwidth the formal name is actually the transmission rate
58,08-29,6:41,um and this bandwidth if you have a bigger bandwidth then your your network
59,08-29,6:50,is faster what does this mean faster faster means you have less delays okay why
