"video","timestamp","text"
"08-29","0:03","all right so today uh we are going to start the first lecture"
"08-29","0:09","um introduction to Networks let me firstly discuss the structure of our class the very first chapter is"
"08-29","0:17","going to be um introduction to the networks okay then the second check beginning from the"
"08-29","0:24","second chapter we are going to discuss the uh application layer then transport layer the network layer and then finally"
"08-29","0:31","the link layer okay those are the four main layers we are going to cover in this class each chapter you can imagine"
"08-29","0:37","because we we have uh only these many chapters in this semester so we are"
"08-29","0:43","going to have super long chapters so be prepared for that uh in this chapter what we are going to discuss is"
"08-29","0:50","basically firstly we want to know what is internet and then the second thing we are going to discuss is what is a"
"08-29","0:57","protocol then after that we are going to discuss Network Edge Network call these"
"08-29","1:02","are very important definitions okay um and then we will discuss how to"
"08-29","1:08","measure the network basically what is the uh the performance of the network okay then we will discuss the security"
"08-29","1:16","part of uh Network this is this security part is uh is very basic okay very basic"
"08-29","1:25","um if you want to learn more you should probably take 154 class the networking and network security class to to learn"
"08-29","1:32","more okay and then we will discuss the layers I mentioned we will we will"
"08-29","1:37","discuss several layers in this class then why do we have layers what is the"
"08-29","1:43","functionality for each layer okay so what are the protocols containing this each layer then we will discuss that so"
"08-29","1:50","for history we will just skip that okay all right so then let's start the first"
"08-29","1:55","question what is an internet um if we take a Nas and both view I think"
"08-29","2:03","last time we did the discussion many of you mentioned notes and the links yeah"
"08-29","2:08","those are very important two things or two components that will compose the"
"08-29","2:14","internet okay so when we see knows basically we mean the computers the"
"08-29","2:20","devices right some of you mentioned servers pay attention servers is just"
"08-29","2:25","one type of note okay servers are although the the the same huge usually"
"08-29","2:32","this sounds like huge things right but actually servers are just irregular computers may they may have a more uh"
"08-29","2:40","computer power computation power they may have more storage Etc but they are"
"08-29","2:47","still like a Computing device okay so here we can see uh okay the servers is just a"
"08-29","2:54","type of device but in addition to the servers okay you can see this is one type in addition to the servers we may"
"08-29","3:01","have the PCS we may have a laptop we may have the smartphones we may have the"
"08-29","3:07","tablets and we may even have uh the smart devices okay what which we call as"
"08-29","3:14","we now we have a idea of Internet of Things you hear about iot again and"
"08-29","3:21","again right so what is iot iot is internet of things so here are the"
"08-29","3:26","things may refer to a lot of things okay later I'm going to show you a slide on this"
"08-29","3:33","um so that all those Computing devices as long as they as long as they are able"
"08-29","3:38","they can be connected to the internet then we call them as the nodes okay or"
"08-29","3:45","we calculate them as the hot okay the hots or the N devices okay and the"
"08-29","3:51","systems well these are all the possible names for this uh Computing devices and"
"08-29","3:56","usually these Computing devices are able to run the network applications okay so for example on your computer you may run"
"08-29","4:04","uh uh email okay Outlook so this is"
"08-29","4:10","actually later when we talk about the email service Union you will know this is actually the client program for email"
"08-29","4:17","service okay and then we need to have some kind of"
"08-29","4:23","server program on the email server okay similarly if you you're using a web"
"08-29","4:29","page using uh sorry not available"
"08-29","4:45","[Music]"
"08-29","5:06","okay in addition to that in addition to those Computing devices we also need"
"08-29","5:13","some kind of links or um cables or whatever to connect them"
"08-29","5:19","together okay so those are called communication links"
"08-29","5:25","so the communication links uh so far they can be either white links or"
"08-29","5:32","Wireless links okay so for for example we may have uh fiber we know this is"
"08-29","5:37","super fast and it has a very low error rate okay it's very reliable uh we may"
"08-29","5:44","also have copper um uh corporate cables right so those are"
"08-29","5:53","like uh wide links but we miss we may also have wireless links like radio"
"08-29","5:58","satellite okay those are all the wireless links um and for these links there is a very"
"08-29","6:06","important matter uh that is that that is used uh to show"
"08-29","6:12","the speed of the links so this is called transmission rate and this is this"
"08-29","6:18","transmission rate is later we will learn it is actually very important it will"
"08-29","6:23","um affect something we call a transmission delay okay so sometimes if"
"08-29","6:28","the transmission also has another name which is bandwidth I think you are all you all know the term bandwidth right"
"08-29","6:35","but what is uh what is the bandwidth the formal name is actually the transmission rate"
"08-29","6:41","um and this bandwidth if you have a bigger bandwidth then your your network"
"08-29","6:50","is faster what does this mean faster faster means you have less delays okay why"
"08-29","6:56","does higher transmission rate cause lower delays later uh I will show you I"
"08-29","7:02","will give you a formula for that okay then now we have the links connecting"
"08-29","7:07","the Computing devices that is this sufficient is this enough"
"08-29","7:15","you think about this if we have if we have the"
"08-29","7:23","um links and devices then Avida can we build a network on top of this only"
"08-29","7:32","so now we can imagine for example if we have most of you say no right so we say no in"
"08-29","7:39","the in the chat right we cannot we cannot we may we may"
"08-29","7:44","be able to build a very small network but we want we are not able to build a large area network"
"08-29","7:51","or will not be able to build a internet why you think about this if you only"
"08-29","7:57","have cables and all vehicle links or on the devices then if you have a computer let's say in"
"08-29","8:07","U.S and another computer in Europe then we have another one in Asia okay so now"
"08-29","8:15","if you want to connect these two then you need you need to have third direct links between these authorities three"
"08-29","8:22","computers apparently it's very hard okay first it's hard to use white links if you use"
"08-29","8:29","wireless links then you may you may need to have a very very very very powerful"
"08-29","8:36","um uh transmitter and receiver but usually that is not possible"
"08-29","8:42","okay even when you think about someone someone of you may say oh I can use"
"08-29","8:48","satellite satellite I I'll I'll uh explain this"
"08-29","8:53","later satellite is actually also itself is not able to directly connect to those"
"08-29","9:00","devices okay it needs to firstly connect to this kind of Tower okay and then the tower is"
"08-29","9:07","actually connected to the browser okay so that's why okay that's why this"
"08-29","9:13","these two things are not enough we need a third type of thing which is called"
"08-29","9:18","tacky switches okay package which is means routers and switches okay so this"
"08-29","9:27","kind of thing is use the two forward the package so as"
"08-29","9:32","you can see these devices are all connected to a router or switch"
"08-29","9:39","okay and then in the middle of the network we actually have a bunch of routers a lot of routers okay then we do"
"08-29","9:48","your level do not have direct link between two Computing devices actually those two compute devices when they talk"
"08-29","9:54","to each other they have to go through a lot of routers okay so which we call you"
"08-29","10:00","lyrical as a for example a path Okay so"
"08-29","10:07","um that is uh that is a uh the package which part okay this this packets which"
"08-29","10:13","are like the uh post offices if you think about uh the postal service so"
"08-29","10:19","those packages are like the postal offices at different um areas so they are they are able to"
